product_name,brands,energy_100g,proteins_100g,carbohydrates_100g,fat_100g,fiber_100g,sugars_100g,salt_100g
"Bakers Best, Rye Bread",Wise Woodworks,1071.0,7.69,53.85,2.56,2.6,2.56,0.81534
"Piasten, Chocolate Assortment",Goode's Bakery & Co.  Inc.,2029.0,8.75,58.75,26.25,4.2,6.5,0.03048
Cakes Raisins,Bijou,1768.0,5.8,56.0,19.0,1.8,28.0,0.65
"Big Papa's, Southern Sauce",Walton's Flies,1046.0,0.0,43.75,0.0,0.0,34.38,3.01752
Cakes aux Fruits,Bijou,1670.0,4.9,60.0,15.0,1.5,34.0,0.6
Knusperflakes Mit Knusprigen Cornflakes,"Ritter Sport,  Alfred Ritter Gmbh & Co",2209.0,8.0,60.0,28.0,2.0,49.6,0.4064
"Rum Trauben Nuss, Milk Chocolate Wih Rum Raisins & Nuts",Ritter Sport,2142.0,8.0,56.0,28.0,1.6,43.6,0.13208
Milk Chocolate With Caramelized Almonds,"Ritter Sport,  Alfred Ritter Gmbh & Co. Kg",2226.0,7.2,57.2,31.2,2.4,56.0,0.14224
"Funsch, High Quality Marzipan",Petpro Products  Inc.,1929.0,9.6,55.2,21.4,4.2,51.6,0.254
Oatmeal Raisin Cookies,Bart & Judy's,1552.0,7.14,67.86,21.43,3.6,28.57,0.54356
The Best Peanut Butter Cookies,Bart & Judy's,1703.0,7.14,67.86,21.43,3.6,28.57,0.54356
Best Sweet-Potato Cookies,Petpro Products  Inc.,1623.0,2.94,50.0,17.65,0.0,17.65,0.37338
Best Ginger Snap Cookies,Petpro Products  Inc.,1623.0,2.94,50.0,17.65,0.0,17.65,0.37338
"Ice Cream, Vanilla",Lactaid,883.0,2.82,22.54,11.27,0.0,16.9,0.14224
"Ice Cream, Butter Pecan",Lactaid,1000.0,4.23,22.54,15.49,1.4,15.49,0.34036
Whey Protein aus Molke Vanilla,allfitnessfactory.de,1644.0,78.05,8.8,4.6,0.1,6.0,1.21158
Financiers aux Amandes,Bijou,1868.0,8.0,51.0,23.0,1.7,39.0,0.55
Whey Protein aus Molke 1000 Gramm Vanilla,allfitnessfactory.de,1644.0,78.05,8.8,4.6,0.1,6.0,1.21158
Fondants Citron,Bijou,1896.0,8.1,50.0,24.0,2.5,37.0,0.78
Whey Protein aus Molke 500 Gramm Vanilla,allfitnessfactory.de,1644.0,78.05,8.8,4.6,0.1,6.0,1.21158
Sea Salt Potato Chips,Trader Joe's,2243.0,7.14,57.14,32.14,3.6,0.0,0.9525
Solid Milk Chocolate,Madelaine Chocolate Novelties,2318.0,7.14,58.93,32.14,1.8,55.36,0.2032
"Madelaine Chocolate Company, Chocolate",Madelaine Chocolate Novelties,2301.0,7.5,57.5,32.5,2.5,55.0,0.1905
Milk Chocolate Rose,The Madelaine Chocolate Company,2389.0,9.52,57.14,33.33,0.0,57.14,0.18034
Solid Dark Chocolate,The Madelaine Chocolate Company,2197.0,5.0,57.5,32.5,5.0,50.0,0.03048
White Chocolate,Madelaine Chocolate Novelties  Inc,2406.0,7.5,50.0,40.0,0.0,50.0,0.254
"The Madelaine Chocolate Company, Solid Milk Chocolate Cigars",Madelaine Chocolate Novelties,2238.0,6.98,58.14,32.56,2.3,55.81,0.20574
"Madelaine Chocolate, It's A Girl! Solid Milk Chocolate Cigars, Milk Chocolate",Madelaine Chocolate Novelties,2238.0,6.98,58.14,32.56,2.3,55.81,0.20574
"The Madelaine Chocolate Company, All Natural Dark Chocolate Gift Stick",Madelaine Chocolate Novelties,2314.0,10.53,44.74,39.47,10.5,28.95,0.0
"The Madelaine Chocolate Company, Solid Milk Chocolate",Madelaine Chocolate Novelties,2301.0,7.5,57.5,32.5,2.5,55.0,0.1905
"The Madelaine Chocolate Company, Solid Dark Chocolate",Madelaine Chocolate Novelties,2197.0,5.0,57.5,32.5,5.0,47.5,0.03048
Solid Milk Chocolate,The Madelaine Chocolate Company,2326.0,8.33,58.33,33.33,2.8,55.56,0.21082
"The Madelaine Chocolate Company, Solid Milk Chocolate",Madelaine Chocolate Novelties,2326.0,8.33,58.33,33.33,2.8,55.56,0.21082
"The Madelaine Chocolate Comapny, Solid Milk Chocolate",Madelaine Chocolate Novelties,2314.0,7.89,57.89,31.58,2.6,55.26,0.20066
"The Madelaine Chocolate Company, Solid Dark Chocolate",Madelaine Chocolate Novelties,2201.0,5.26,57.89,31.58,5.3,50.0,0.03302
